date,partner,imports,exports,trade_balance,container_throughput,scenario
2010-01-01,China,599.1444730914066,180.25702455828767,-418.8874485331189,77.94014976496942,recession
2010-01-02,China,599.5041356563082,180.1678662075855,-419.33626944872276,77.96720018638938,recession
2010-01-03,China,599.6316413968252,180.14853533788877,-419.4831060589364,77.97801767347141,recession
2010-01-04,China,599.9475158050925,180.07265679438927,-419.87485901070323,78.00201725994819,recession
2010-01-05,China,601.2623303833944,179.6978106709243,-421.56451971247014,78.09601410543188,recession
2010-01-06,China,602.0611333068013,179.4782952490627,-422.5828380577385,78.15394285558641,recession
2010-01-07,China,602.0177925374679,179.51012203676575,-422.50767050070215,78.15279145742338,recession
2010-01-08,China,602.0294702709662,179.52554557735192,-422.50392469361424,78.15550158483182,recession
2010-01-09,China,601.5920714701547,179.67499250692566,-421.917078963229,78.12670639770805,recession
2010-01-10,China,601.3988673321653,179.7516403298405,-421.6472270023248,78.11505076620058,recession
2010-01-11,China,601.6312773232133,179.701121043071,-421.93015628014234,78.13323983662843,recession
2010-01-12,China,601.9774444629704,179.61669197150624,-422.36075249146415,78.15941364344768,recession
2010-01-13,China,602.4594382787517,179.49188394067835,-422.96755433807334,78.19513222194301,recession
2010-01-14,China,602.5629371400956,179.47994375266404,-423.0829933874316,78.20428808927598,recession
2010-01-15,China,603.2639425270322,179.2902526800673,-423.97368984696493,78.25541952070995,recession
2010-01-16,China,602.1138910930233,179.65160585721583,-422.4622852358075,78.17654969502392,recession
2010-01-17,China,601.6590594755451,179.80633487959827,-421.8527245959468,78.14653943551434,recession
2010-01-18,China,602.0005802120852,179.72323766389943,-422.27734254818574,78.17238178759847,recession
2010-01-19,China,603.3650768087228,179.33566370079302,-424.0294131079298,78.27007405095159,recession
2010-01-20,China,603.7430392728123,179.24224835466052,-424.5007909181518,78.2985287627473,recession
2010-01-21,China,603.7380471467678,179.26258534778094,-424.4754617989869,78.30006324945488,recession
2010-01-22,China,604.6227807053612,179.01910117733968,-425.6036795280215,78.36418818827008,recession
2010-01-23,China,604.4619165375515,179.0855759026341,-425.37634063491737,78.35474924401856,recession
2010-01-24,China,605.1691466361032,178.8950987496541,-426.27404788644907,78.40642453857572,recession
2010-01-25,China,604.8613776230167,179.0049459246777,-425.85643169833895,78.38663235476945,recession
2010-01-26,China,604.686162850757,179.07564109076017,-425.6105217599968,78.37618039415173,recession
2010-01-27,China,605.6258061333101,178.8165982766963,-426.8092078566138,78.44424044100066,recession
2010-01-28,China,604.5937355220477,179.14067655729548,-425.45305896475224,78.37344120793432,recession
2010-01-29,China,604.7274877648563,179.11988042533832,-425.6076073395179,78.38473681901947,recession
2010-01-30,China,604.931831251649,179.07819411833515,-425.85363713331384,78.40100253699842,recession
2010-01-31,China,604.8661065177677,179.11647466595014,-425.7496318518175,78.39825811837179,recession
2010-02-01,China,605.2714579948248,179.01532954276408,-426.2561284520607,78.4286787537589,recession
2010-02-02,China,604.7983731090206,179.17418322797434,-425.6241898810463,78.3972556336995,recession
2010-02-03,China,604.4805679526052,179.28721848310883,-425.1933494694963,78.37677864357141,recession
2010-02-04,China,604.7842265298907,179.21602477194222,-425.5682017579485,78.4000251301833,recession
2010-02-05,China,604.3323812270556,179.36886006962916,-424.9635211574265,78.37012412966848,recession
2010-02-06,China,605.2978432374036,179.10157299865892,-426.1962702387447,78.43994162360626,recession
2010-02-07,China,605.042783443741,179.1958924033701,-425.8468910403709,78.4238675847111,recession
2010-02-08,China,604.3959803174782,179.40649979442344,-424.9894805230548,78.38024801119018,recession
2010-02-09,China,604.3557985418942,179.43726776449694,-424.9185307773972,78.37930663063912,recession
2010-02-10,China,604.0894194557004,179.53524067243526,-424.5541787832651,78.36246601281357,recession
2010-02-11,China,604.6104034778978,179.39937004000132,-425.21103343789645,78.4009773517899,recession
