date,google_trends_unemployment,google_trends_inflation,google_trends_recession,google_trends_jobs,google_trends_mortgage rates,nighttime_lights,shipping_density,twitter_economic_sentiment,news_sentiment,earnings_sentiment,economic_surprise_index,railroad_traffic,truck_traffic,electricity_consumption,scenario
2010-01-01,68.29789305297388,36.85550475935318,64.71253758871076,27.99640557546637,60.49865488573376,99.98292536523935,88.1605689916806,19.76488319646963,52.88043455177624,50.101658394456635,-55.29781726193246,101.24908570591003,97.69793016929707,100.04838147568054,productivity_boom
2010-01-02,74.48277997199672,30.217332511166706,56.9854348081393,39.725762884517685,60.59753209976152,100.04595294339309,98.76287407609594,79.68436986881638,71.49056063737267,52.95879255472336,13.209777368626028,103.06387400903397,99.38615000251104,100.06379532233171,productivity_boom
2010-01-03,67.2051565846628,29.795959084538566,59.88263840956408,37.61087804818537,47.03163111852912,100.02410057271074,100.25980268664921,53.50661032090416,51.33256225935246,56.470284775807244,-20.840894996838518,98.4087570668213,101.67230827003434,100.11945177262331,productivity_boom
2010-01-04,64.22116862209622,34.21215953353734,59.46451517382987,37.85428395273235,55.25583467774054,99.99003735549242,104.03970070544777,69.64967916521647,36.26653143039306,41.18399350035926,9.27358547936734,104.4640815148654,100.76828318111212,100.15087727701838,productivity_boom
2010-01-05,77.60528331501088,33.40365850421989,75.4062596712349,31.463931598427852,67.53653999774122,100.03845459877604,103.99492913656293,61.88061563889935,87.70814579001143,51.22876718587761,-22.24603249047691,100.90217264119322,100.81612199505435,100.14664303331419,productivity_boom
2010-01-06,71.68614837359199,30.243081192770653,54.36173462181234,36.27305621652831,61.4928649798147,100.05204938415926,91.70228076922301,23.80976350223589,34.826014303739456,48.1201935209165,0.8672260568610812,101.20766023904045,99.21699419747753,100.14518088847801,productivity_boom
2010-01-07,70.870706542484,33.549474023591216,52.869606195946254,40.065362665620626,69.50242300429268,100.12164495592069,99.04408903215543,68.76156697059182,48.76505617373378,56.63352052050121,2.2644487440113092,101.77069969391749,100.15798998838137,100.13225069693242,productivity_boom
2010-01-08,69.70077864248904,33.20121234728716,55.91182709843576,35.72539064102743,51.896524811185564,100.1411532328104,94.09346939394885,62.873818297404824,59.1404652121266,52.431376061831635,28.098135691689123,98.3245166994675,98.75468490936456,100.1328069273818,productivity_boom
2010-01-09,69.20380504698252,31.908197556779395,56.826545559272205,35.02054398217113,61.54989056862077,100.22184482699416,97.67369316637037,37.21380923785031,60.399430346755956,42.668757580039845,-27.730649332087722,101.31240315796165,101.69372205505607,100.17671062653764,productivity_boom
2010-01-10,68.23258106780537,31.006853659320445,58.35214887695345,40.078324998424314,54.86324712898031,100.269813214852,103.86738209927792,60.94103571151035,69.09693620839965,52.721546379816694,31.813192958469156,99.30517377163633,100.5208834109009,100.15775627591988,productivity_boom
2010-01-11,73.00543770710605,33.65994577582368,59.94408818157713,37.239035188323214,57.37433004456412,100.24391485982507,99.39514932786284,61.21110506607324,26.450987684395763,52.355988886883324,-5.31467031496462,100.43636940301582,104.43164574382902,100.15629799640018,productivity_boom
2010-01-12,66.12195131032918,41.705913680293634,53.71748229830677,35.63323561802699,45.554941328237796,100.32825492182016,108.11658899720834,44.885110795052555,25.996689533747496,39.15678823417175,-4.731443839616699,98.56612163325234,100.1040649904104,100.14067024181662,productivity_boom
